: 1704400790:0;wg-quick up wg0
: 1704509862:0;git status
: 1704509866:0;git add Makefile
: 1704509881:0;git commit -m "Testing Frisbee Geodesic"
: 1704509888:0;git push origin main
: 1704510059:0;make run-geodesic
: 1704510143:0;make vault
: 1704510185:0;docker run hello-world
: 1704510207:0;make vault
: 1704510321:0;make clean-vault
: 1704510327:0;make vault
: 1704510490:0;vault secrets list
: 1704510515:0;export VAULT_ADDR=http://127.0.0.1:8200
: 1704510517:0;vault secrets list
: 1704510530:0;vault login hvs.ZKxzEOchsFYezTKesA8m813L
: 1704510532:0;vault secrets list
: 1704511512:0;docker list networks
: 1704511516:0;docker network list
: 1704511650:0;exit
: 1704511747:0;make clean-vault
: 1704511766:0;make vault
: 1704511928:0;make clean-vault
: 1704511939:0;make vault
: 1704512423:0;sudo vi /usr/local/bin/frisbee
: 1704512431:0;which frisbee
: 1704512443:0;vi /home/administrator/.local/bin/frisbee
: 1704512525:0;frisbee
: 1704539039:0;git status
: 1704539043:0;git add Makefile
: 1704539063:0;git add libraries/bash/frisbee.sh
: 1704539073:0;tools/vault/docker-compose.yml
: 1704539083:0;git add tools/vault/docker-compose.yml
: 1704539086:0;git status
: 1704539097:0;git commit -m "Testing bridged network"
: 1704539101:0;git push origin main
: 1704539141:0;exit
: 1704630192:0;sudo apt-get install openssh-server
: 1704630224:0;sudo systemctl enable ssh
: 1704630235:0;sudo systemctl ssh start
: 1704630247:0;sudo systemctl start ssh
: 1704630262:0;ssh administrator@localhost
: 1704630269:0;exit
: 1704794297:0;cd localprojects
: 1704794300:0;cd ..
: 1704794303:0;cd localprojects
: 1704794304:0;cd code
: 1704794307:0;cd frisbee
: 1704794308:0;git pull
: 1704794388:0;make setup-vm
: 1704794906:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04\

: 1704794975:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=jammy\

: 1704795205:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04\

: 1704795475:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04 -f\

: 1704795561:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04 f\

: 1704795582:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04 --f\

: 1704795645:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.40 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04\

: 1704796026:0;ssh fatporkrinds@192.168.1.40
: 1704796262:0;make setup-vm VM_NAME=ansible VM_IP=192.168.1.50 CPU_CORES=2 MEMORY=2048 DISK_SIZE=25000 UBUNTU_RELEASE=22.04\

: 1705105489:0;cd ~/Downloads
: 1705105491:0;ls -al
: 1705105495:0;history | grep dd
: 1705105559:0;ls -al
: 1705105604:0;sudo dd if=ubuntu-22.04.3-live-server-amd64.iso of=/dev/sdb bs=1M status=progress
: 1705105689:0;cd ~/Downloads
: 1705105719:0;sudo dd if=ubuntu-22.04.3-live-server-amd64.iso of=/dev/sdb bs=1M status=progress
: 1705105767:0;sudo su
: 1705146883:0;w
: 1705237762:0;sudo apt-get update
: 1705237777:0;sudo apt-get upgrade
: 1705603846:0;docker run hello-world
: 1705603849:0;clear
: 1705603854:0;make create-vault
: 1705604392:0;make help
: 1705605641:0;env
: 1705605829:0;make help
: 1705605837:0;env
: 1705605970:0;make help
: 1705605976:0;env
: 1705606003:0;env | grep VAULT
: 1705606043:0;make help
: 1705606866:0;OA
: 1705606868:0;make help
: 1705606891:0;env
: 1705606901:0;echo $VAULT_ADDr
: 1705606963:0;make help
: 1705607312:0;make build-tier1
: 1705607608:0;minikube stop
: 1705607624:0;minikube delete
: 1705607633:0;make build-tier1
: 1705607844:0;make build-geodesic
: 1705607944:0;make build-tier1
: 1705613274:0;ls -al
: 1705613288:0;chmod +x libraries/community/python/create_vbox_server.py
: 1705613374:0;python3 libraries/community/python/create_vbox_server.py testserver 4096 2 204096 UbuntuServer01 ubuntu
: 1705613411:0;python3 libraries/community/python/create_vbox_server.py --name testserver --memory 4096 --cpu 2 --disk 204096 --os UbuntuServer01 --user ubuntu
: 1705613985:0;python3 libraries/community/python/create_vbox_server.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os UbuntuServer01 --user ubuntu
: 1705614124:0;sudo apt-get install sshpass
: 1705614822:0;python3 libraries/community/python/create_vbox_server.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os UbuntuServer01 --user ubuntu
: 1705614899:0;ip a
: 1705615116:0;python3 libraries/community/python/create_vbox_server.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os UbuntuServer01 --user ubuntu
: 1705616149:0;cloud-localds
: 1705616161:0;sudo apt-get install qemu-tools cloud-localds
: 1705616189:0;brew install cloud-localds
: 1705616272:0;sudo apt-get install qemu-utils cloud-image-utils
: 1705616288:0;python3 libraries/community/python/create_vbox_server.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os UbuntuServer01 --user ubuntu
: 1705616853:0;python3 libraries/community/python/create_vbox.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os UbuntuServer01 --user ubuntu
: 1705618142:0;python3 libraries/community/python/create_vbox.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os Linux --user ubuntu
: 1705618297:0;python3 libraries/community/python/create_vbox.py --name ubuntu-22.04-server-cloudimg-amd64 --memory 4096 --cpu 2 --disk 204096 --os Ubuntu --user ubuntu
: 1705618476:0;python3 libraries/community/python/create_vbox.py --name ubuntu --memory 4096 --cpu 2 --disk 204096 --os Ubuntu --user ubuntu
: 1705620900:0;python3 libraries/community/python/create_vbox.py --name ubuntu01 --memory 4096 --cpu 2 --disk 204096 --os Ubuntu --user ubuntu
: 1705621503:0;python3 libraries/community/python/create_vbox.py --name ubuntu01 --memory 4096 --cpu 2 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705621891:0;python3 libraries/community/python/create_vbox.py --name ubuntu02 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705622485:0;python3 libraries/community/python/create_vbox.py --name ubuntu03 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705622731:0;python3 libraries/community/python/create_vbox.py --name ubuntu04 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705623113:0;python3 libraries/community/python/create_vbox.py --name ubuntu05 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705624498:0;python3 libraries/community/python/create_vbox.py --name ubuntu06 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705625405:0;ssh-keygen -t rsa -b 4096 armyknife
: 1705625416:0;ssh-keygen -t rsa -b 4096 -f armyknife
: 1705625501:0;python3 libraries/community/python/create_vbox.py --name ubuntu06 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705625649:0;ssh -i armyknife ubuntu@10.0.0.203
: 1705625656:0;clear
: 1705625735:0;python3 libraries/community/python/create_vbox.py --name ubuntu-22.04-server-cloudimg-amd64.vdi --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705625988:0;python3 libraries/community/python/create_vbox.py --name ubuntu07 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705626194:0;python3 libraries/community/python/create_vbox.py --name ubuntu07 --memory 8192 --cpu 1 --disk 2040960 --os Ubuntu_64 --user ubuntu
: 1705626861:0;python3 libraries/community/python/create_vbox.py --name ubuntu08 --memory 8192 --cpu 1 --disk 2040960 --os Ubuntu_64 --user ubuntu
: 1705626943:0;python3 libraries/community/python/create_vbox.py --name ubuntu08 --memory 8192 --cpu 1 --disk 204096 --os Ubuntu_64 --user ubuntu
: 1705627009:0;python3 libraries/community/python/create_vbox.py --name ubuntu08 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu
: 1705627466:0;python3 libraries/community/python/create_vbox.py --name ubuntu09 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu
: 1705627541:0;git status
: 1705627563:0;git add libraries/community/python/create_vbox.py
: 1705627572:0;git commit -m "Beta Version"
: 1705627577:0;git push origin main
: 1705635646:0;vi ~/.gitignore_global
: 1705635712:0;vi ~/.gitmessage
: 1705635743:0;brew install gpg
: 1705635964:0;gpg --default-new-key-algo rsa4096 --gen-key\

: 1705636111:0;gpg --list-secret-keys --keyid-format=long
: 1705636138:0;gpg --armor --export 9DD6D0D3B8113B96
: 1705654627:0;sudo apt-get install gnupg-curl
: 1705654652:0;sudo apt-get update
: 1705654659:0;sudo apt-get install gnupg-curl
: 1705654663:0;sudo apt-get install gnupg-*
: 1705654678:0;sudo apt-get install gpg-curl
: 1705654688:0;sudo apt search curl
: 1705654698:0;sudo apt search curl | grep gpg
: 1705655161:0;sudo apt-get install hopenpgp-tools
: 1705655250:0;sudo apt-get install parcimonie
: 1705655673:0;sudo vi /etc/gpg.conf
: 1705655737:0;sudo apt-get install gpg gpg2
: 1705655754:0;sudo apt-get install gpg
: 1705656025:0;gpg --edit-key developer@fatporkrinds.com
: 1705656172:0;gpg --export-secret-keys --armor developer@fatporkrinds.com > secret.gpg-key
: 1705656213:0;gpg --export --armor developer@fatporkrinds.com > public.gpg-key
: 1705656221:0;ls -al
: 1705656355:0;mkdir /tmp/gpg\
sudo mount -t ramfs -o size=1M ramfs /tmp/gpg\
sudo chown $(logname):$(logname) /tmp/gpg
: 1705656383:0;gpg --export-secret-subkeys developer@fatporkrinds.com > /tmp/gpg/subkeys
: 1705656433:0;ls -al /tmp/gpg
: 1705656443:0;cat /tmp/gpg
: 1705656449:0;ls -al /tmp/gpg/subkeys
: 1705656482:0;gpgconf --kill all
: 1705656490:0;gpg --export-secret-subkeys developer@fatporkrinds.com > /tmp/gpg/subkeys
: 1705656528:0;gpg --delete-secret-key developer@fatporkrinds.com
: 1705656557:0;gpg --import /tmp/gpg/subkeys
: 1705656582:0;sudo umount /tmp/gpg
: 1705656592:0;rmdir /tmp/gpg
: 1705656622:0;gpg --list-secret-keys
: 1705666459:0;python3 libraries/community/python/create_vbox.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible --folder ansible
: 1705666633:0;python3 libraries/community/python/create_vbox.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible
: 1705666904:0;ls -al tools/vbox
: 1705666908:0;ls -al tools/vbox/servers
: 1705666912:0;ls -al tools/vbox/servers/ansible
: 1705666960:0;cd tools/vbox
: 1705666961:0;tree
: 1705666967:0;brew install tree
: 1705666981:0;tree
: 1705666991:0;cd ..
: 1705666994:0;tree
: 1705667432:0;cd ..
: 1705667447:0;python3 libraries/community/python/create_vbox.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible
: 1705668916:0;cd tools/vbox/servers/ansible
: 1705668917:0;pwd
: 1705669036:0;python3 libraries/community/python/create_vbox.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible
: 1705669077:0;cd ..
: 1705669147:0;python3 libraries/community/python/create_server.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible
: 1705669161:0;python3 libraries/community/python/create_server.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible --folder ansible
: 1705672134:0;arp
